"incr_cost","incr_qaly","icer"
185872.707349103,0.194139450650752,957418.529443972
202455.260417402,0.195785676265792,1034065.74106349
192822.937427427,0.0748900290192982,2574747.79957342
178845.160325838,0.216116976226654,827538.694314664
178346.279023927,0.332922991171395,535698.295862394
161568.721673874,0.318312277104673,507579.296480432
196966.08599386,0.245250208990333,803123.009781508
193312.880487535,0.269740029342433,716663.674126491
178348.075066594,0.132655469453945,1344445.69681698
200153.218854182,0.255447888057381,783538.358356763
207133.730861567,0.26545291575561,780303.091687511
200849.139067083,0.125500827762915,1600380.99068565
204173.461244022,0.166788236327038,1224147.85203243
169644.108892555,0.0688262796633189,2464815.90640104
190462.789753741,0.210429532298808,905114.35193082
175525.363913589,0.0620315402782963,2829614.79154181
189295.21619428,0.310485876905132,609674.160000903
190163.424114413,0.234847471052636,809731.623943234
195560.933454862,0.160118027269347,1221354.87671163
205750.58862076,0.0736030088289629,2795410.02323531
167760.439098412,0.153514109965448,1092801.43132231
206185.289046799,0.279920732096965,736584.559143606
199802.630317197,0.170667034235596,1170716.01561542
191268.172562887,0.264895886672031,722050.368413975
203482.812322427,0.313270736494587,649542.994661244
203496.55286149,0.222494304279459,914614.661802274
183632.34410559,0.177742018258842,1033139.74885876
194758.963787926,0.117563328668672,1656630.22639325
178211.897743257,0.266926471678495,667644.151674504
192117.277749844,-0.063604682073643,-3020489.55338549
162318.124938151,0.0397942759160425,4078931.48453331
202676.738686008,0.181208442257765,1118472.93735744
198862.653144962,0.0359596488899656,5530161.1468307
175417.146818627,0.208159126639755,842706.969664647
176442.507270872,0.0776569070640731,2272077.44863303
188814.121609898,0.282513620818483,668336.348041825
198588.740816954,0.258678237283233,767705.63655695
215615.480809878,0.248890020408022,866308.261200691
203357.281628752,0.245094186524711,829710.75125133
193795.465317116,0.192469806651806,1006887.6188342
195638.032874058,0.121567182648257,1609299.71898845
187302.253326702,0.209055616277619,895944.613504052
161228.250304415,0.185467473475425,869307.416999879
160105.019447079,0.110718228972705,1446058.3494932
212967.361981306,0.194677301902405,1093950.65526473
199382.102004188,0.300270003445672,664009.390602556
195325.66568764,0.140364051090058,1391564.75016754
200327.924187608,0.255313582692242,784634.808987369
178225.361606933,0.0733431812128286,2430019.51455794
178555.409191665,-0.0336047813123351,-5313392.98215053
201419.535689449,0.126041055362379,1598047.04197653
186465.831348195,0.322106196907352,578895.510668579
175096.427913947,0.211518125731938,827808.147921334
